DATE_TIME,PLANT_ID,SOURCE_KEY,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,
2020-05-15 00:00:00,4135001,HmiyD2TTLFNqkNe,25.184316133333300,22.8575074,0,
2020-05-15 00:15:00,4135001,HmiyD2TTLFNqkNe,25.084588666666700,22.761667866666700,0,
2020-05-15 00:30:00,4135001,HmiyD2TTLFNqkNe,24.935752600000000,22.592305533333300,0,
2020-05-15 00:45:00,4135001,HmiyD2TTLFNqkNe,24.8461304,22.360852133333300,0,
2020-05-15 01:00:00,4135001,HmiyD2TTLFNqkNe,24.621525357142900,22.165422642857100,0,
2020-05-15 01:15:00,4135001,HmiyD2TTLFNqkNe,24.536092200000000,21.968570866666700,0,
2020-05-15 01:30:00,4135001,HmiyD2TTLFNqkNe,24.638673866666700,22.352925666666700,0,
2020-05-15 01:45:00,4135001,HmiyD2TTLFNqkNe,24.873022333333300,23.1609192,0,
2020-05-15 02:00:00,4135001,HmiyD2TTLFNqkNe,24.936930466666700,23.026113,0,
2020-05-15 02:15:00,4135001,HmiyD2TTLFNqkNe,25.012247600000000,23.343229266666700,0,
2020-05-15 02:30:00,4135001,HmiyD2TTLFNqkNe,25.005149333333300,23.639459266666700,0,
2020-05-15 02:45:00,4135001,HmiyD2TTLFNqkNe,24.993019533333300,24.0394858,0,
2020-05-15 03:00:00,4135001,HmiyD2TTLFNqkNe,25.016309428571400,24.384135571428600,0,
2020-05-15 03:15:00,4135001,HmiyD2TTLFNqkNe,24.985215266666700,24.351507733333300,0,
2020-05-15 03:30:00,4135001,HmiyD2TTLFNqkNe,24.937731933333300,24.060296533333300,0,
2020-05-15 03:45:00,4135001,HmiyD2TTLFNqkNe,24.879099533333300,23.709794133333300,0,
2020-05-15 04:00:00,4135001,HmiyD2TTLFNqkNe,24.678902200000000,22.589941533333300,0,
2020-05-15 04:15:00,4135001,HmiyD2TTLFNqkNe,24.3519308,21.783642533333300,0,
2020-05-15 04:30:00,4135001,HmiyD2TTLFNqkNe,24.0626222,21.852524933333300,0,
